id,userId,type,finishDate,createTime
11,608951167,2,2025-3-5,1741167760
9,608951173,3,2025-3-5,1741166919
10,608951173,1,2025-3-5,1741167057
13,608951468,1,2025-3-5,1741176104
14,608951468,3,2025-3-5,1741176120
29,608951468,2,2025-3-6,1741238984
16,608951943,1,2025-3-5,1741188720
21,608951943,2,2025-3-5,1741206549
61,608951943,3,2025-3-6,1741289285
17,608951971,3,2025-3-5,1741188811
25,608951971,1,2025-3-5,1741214936
18,608952091,3,2025-3-5,1741191971
19,608952091,1,2025-3-5,1741192092
22,608953047,1,2025-3-5,1741211971
33,608953796,1,2025-3-6,1741250781
40,608953796,2,2025-3-6,1741252026
51,608953796,3,2025-3-6,1741266102
58,608953870,1,2025-3-6,1741283865
63,608955757,2,2025-3-7,1741304196
94,608955757,1,2025-3-7,1741327385
95,608956160,3,2025-3-7,1741327482
96,608956160,1,2025-3-7,1741327586
99,608956160,2,2025-3-7,1741329006
201,608956185,1,2025-3-7,1741384933
156,608957086,1,2025-3-7,1741359257
452,608957086,2,2025-3-9,1741528838
613,608957086,1,2025-3-10,1741619819
623,608957086,2,2025-3-10,1741624918
1184,608957086,2,2025-3-14,1741950666
1369,608957086,2,2025-3-15,1742058767
2717,608957086,2,2025-3-24,1742851219
3675,608957086,2,2025-3-31,1743415345
312,608959695,1,2025-3-8,1741448738
808,608963255,1,2025-3-11,1741731512
500,608963794,1,2025-3-9,1741555689
749,608968145,1,2025-3-11,1741697662
1611,608981901,1,2025-3-17,1742201095
1614,608981901,3,2025-3-17,1742202105
2488,608991847,1,2025-3-23,1742718268
2490,608991847,2,2025-3-23,1742719135
3306,609007365,1,2025-3-28,1743200833
3437,609009776,3,2025-3-29,1743278067
3439,609009776,2,2025-3-29,1743278641
3586,609014353,1,2025-3-30,1743365965
3733,609014353,2,2025-3-31,1743449388
3589,609014670,2,2025-3-30,1743366898
3682,609016045,3,2025-3-31,1743419178
4286,609022431,3,2025-4-4,1743776103
4323,609022431,1,2025-4-4,1743797482
5117,609024143,2,2025-4-10,1744266117
4907,609031799,1,2025-4-8,1744142236
4641,609031808,1,2025-4-7,1743985540
4690,609032254,1,2025-4-7,1744013585
5140,609039285,1,2025-4-10,1744279641
5289,609041597,1,2025-4-11,1744367403
5633,609044494,1,2025-4-13,1744571512
